iter	Passed	Remaining
631	25142	571599
632	25180	571524
633	25224	571566
634	25261	571472
635	25298	571371
636	25338	571335
637	25377	571264
638	25415	571192
639	25459	571237
640	25511	571487
641	25593	572384
642	25658	572897
643	25700	572905
644	25740	572875
645	25781	572860
646	25831	573034
647	25872	573032
648	25927	573319
649	25969	573324
650	26011	573331
651	26051	573300
652	26090	573241
653	26144	573495
654	26182	573426
655	26224	573413
656	26263	573349
657	26302	573296
658	26359	573627
659	26397	573551
660	26436	573478
661	26475	573423
662	26516	573409
663	26555	573349
664	26594	573289
665	26633	573209
666	26672	573151
667	26711	573097
668	26763	573318
669	26802	573254
670	26840	573175
671	26880	573126
672	26918	573051
673	26971	573282
674	27010	573213
675	27049	573159
676	27088	573090
677	27140	573318
678	27181	573293
679	27224	573316
680	27262	573232
681	27302	573191
682	27344	573192
683	27383	573132
684	27423	573090
685	27462	573028
686	27503	573007
687	27547	573045
688	27585	572974
689	27627	572962
690	27665	572890
691	27703	572797
692	27740	572706
693	27778	572614
694	27816	572533
695	27855	572474
696	27893	572391
697	27931	572309
698	27980	572449
699	28021	572433
700	28062	572423
701	28102	572374
702	28156	572627
703	28198	572625
704	28236	572536
705	28274	572457
706	28313	572390
707	28353	572354
708	28391	572281
709	28429	572193
710	28466	572095
711	28506	572061
712	28544	571971
713	28588	572015
714	28627	571947
715	28666	571878
716	28707	571858
717	28745	571777
718	28789	571827
719	28830	571798
720	28882	571998
721	28921	571941
722	28969	572060
723	29009	572013
724	29050	572000
725	29093	572003
726	29132	571951
727	29172	571901
728	29214	571912
729	29254	571868
730	29298	571893
731	29342	571942
732	29382	571893
733	29420	571820
734	29474	572038
735	29514	572007
736	29553	571950
737	29594	571927
738	29636	571922
739	29675	571855
740	29731	572121
741	29769	572041
742	29807	571967
743	29845	571870
744	29887	571871
745	29927	571828
746	29969	571829
747	30004	571683
748	30097	572664
749	30150	572855
750	30215	573293
751	30253	573211
752	30294	573175
753	30333	573114
754	30379	573188
755	30435	573437
756	30493	573742
757	30545	573915
758	30586	573891
759	30642	574146
760	30687	574197
761	30728	574170
762	30767	574090
763	30806	574030
764	30842	573907
765	30882	573874
766	30921	573803
767	30984	574173
768	31057	574744
769	31107	574891
770	31152	574933
771	31198	574998
772	31237	574918
773	31284	574995
774	31324	574949
775	31367	574958
776	31407	574920
777	31448	574889
778	31487	574826
779	31554	575259
780	31642	576081
781	31685	576092
782	31739	576296
783	31786	576371
784	31827	576342
785	31866	576281
786	31905	576210
787	31944	576138
788	31983	576061
789	32051	576519
790	32091	576473
791	32130	576408
792	32171	576363
793	32208	576266
794	32248	576215
795	32289	576176
796	32329	576131
797	32367	576052
798	32407	575986
799	32446	575920
800	32485	575850
801	32535	575990
802	32594	576272
803	32637	576273
804	32678	576230
805	32716	576155
806	32758	576142
807	32802	576155
808	32850	576245
809	32896	576300
810	32935	576223
811	32980	576271
812	33025	576298
813	33079	576494
814	33132	576664
815	33178	576724
816	33219	576689
817	33272	576866
818	33348	577436
819	33384	577305
820	33428	577327
821	33472	577332
822	33510	577243
823	33550	577199
824	33594	577213
825	33633	577152
826	33675	577128
827	33716	577091
828	33755	577012
829	33794	576942
830	33834	576895
831	33890	577123
832	33932	577089
833	33970	577010
834	34009	576940
835	34048	576870
836	34089	576824
837	34129	576788
838	34169	576726
839	34208	576650
840	34249	576615
841	34287	576540
842	34327	576488
843	34381	576661
844	34420	576595
845	34460	576533
846	34502	576523
847	34545	576511
848	34595	576633
849	34638	576633
850	34679	576598
851	34719	576540
852	34758	576472
853	34798	576413
854	34839	576384
855	34882	576380
856	34921	576312
857	34960	576235
858	35000	576183
859	35040	576132
860	35083	576134
861	35124	576086
862	35164	576042
863	35204	575988
864	35247	575978
865	35287	575923
866	35327	575871
867	35375	575949
868	35423	576021
869	35486	576357
870	35531	576381
871	35571	576316
872	35611	576266
873	35651	576212
874	35694	576214
875	35762	576610
876	35806	576614
877	35845	576542
878	35885	576495
879	35927	576477
880	35967	576411
881	36009	576390
882	36049	576344
883	36089	576287
